ENCSR624CTU	ENCFF797OZK	ENCFF052HOE	Homo sapiens HG03520
ENCSR624ODL	ENCFF188RKV	ENCFF556YQA	Homo sapiens left lobe of liver tissue female adult (61 years)
ENCSR628PLS	ENCFF439KAX	ENCFF169IGM	Homo sapiens GM18861
ENCSR630REB	ENCFF664YGN	ENCFF891TZE	Homo sapiens tibial artery tissue male adult (54 years)
ENCSR634WYX	ENCFF305GXR	ENCFF043JFJ	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR635AIF	ENCFF883YXV	ENCFF014EAL	Homo sapiens GM19468
ENCSR635CAC	ENCFF837IEL	ENCFF606TIH	Homo sapiens GM19467
ENCSR637MUF	ENCFF840HAH	ENCFF201ZLC	Homo sapiens GM19035
ENCSR637OPZ	ENCFF955PTL	ENCFF881NFV	Homo sapiens stimulated activated naive CD8-positive, alpha-beta T cell male adult (36 years) treated with 100 ng/mL Interleukin-15 for 72 hours, anti-CD3 and anti-CD28 coated beads for 72 hours
ENCSR637XSC	ENCFF748UZH	ENCFF603BJO	Homo sapiens GM12878
ENCSR641KNU	ENCFF312JVA	ENCFF738JSK	Homo sapiens GM21825
ENCSR648JJT	ENCFF544EIO	ENCFF597FGW	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 30 minutes
ENCSR651SOJ	ENCFF065JHK	ENCFF748LCE	Homo sapiens adrenal gland tissue female adult (47 years)
ENCSR653VSR	ENCFF182JHG	ENCFF333YCC	Homo sapiens stimulated activated naive B cell female adult (39 years) treated with 1 μg/mL anti-CD40 for 72 hours, 10 μg/mL anti-IgM for 72 hours, 100 ng/mL Interleukin-4 for 72 hours
ENCSR659SFK	ENCFF958SXF	ENCFF806WFB	Homo sapiens activated B cell male adult (22 years) treated with 0.5 μM CpG ODN for 24 hours
ENCSR660WSB	ENCFF095ATB	ENCFF679DXT	Homo sapiens DND-41
ENCSR670REK	ENCFF007FAW	ENCFF562MQW	Homo sapiens gastroesophageal sphincter tissue female adult (53 years)
ENCSR679NRJ	ENCFF985WZA	ENCFF439WNC	Homo sapiens dendritic cell treated with 100 ng/mL lipopolysaccharide for 1 hour
ENCSR682ETE	ENCFF052DWZ	ENCFF314RIZ	Homo sapiens left lung tissue female child (16 years)
ENCSR684KUG	ENCFF937JGB	ENCFF946GAJ	Homo sapiens GM18870
ENCSR685OFR	ENCFF424JEX	ENCFF577KRZ	Homo sapiens naive B cell female adult (39 years)
ENCSR685ZMP	ENCFF631JIS	ENCFF232QBB	Homo sapiens right lobe of liver tissue female adult (41 years)
ENCSR695FLC	ENCFF580HLQ	ENCFF840RIZ	Homo sapiens mucosa of gallbladder tissue female child (16 years)
ENCSR700HPA	ENCFF647UDQ	ENCFF227LPR	Homo sapiens GM18499
ENCSR704VZY	ENCFF487GKW	ENCFF746MNC	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR705KEB	ENCFF305BGH	ENCFF594OAL	Homo sapiens pancreas tissue female adult (59 years)
ENCSR706GDQ	ENCFF160DPC	ENCFF049TUN	Homo sapiens GM19455
ENCSR709QRD	ENCFF010FOR	ENCFF729BQI	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR710SMN	ENCFF252GCN	ENCFF347YOH	Homo sapiens heart right ventricle tissue female adult (58 years)
ENCSR712ZRY	ENCFF693ODH	ENCFF139KXZ	Homo sapiens GM19463
ENCSR718HWW	ENCFF739WIV	ENCFF568OPL	Homo sapiens activated CD8-positive, alpha-beta T cell male adult (21 years) treated with anti-CD3 and anti-CD28 coated beads for 36 hours
ENCSR731ODJ	ENCFF515EVC	ENCFF330FOE	Homo sapiens left cardiac atrium tissue female adult (58 years)
ENCSR762YFD	ENCFF690BFN	ENCFF294PBK	Homo sapiens GM18520
ENCSR765MXG	ENCFF379DHP	ENCFF799MDF	Homo sapiens body of pancreas tissue male adult (54 years)
ENCSR774NXA	ENCFF252LJK	ENCFF962YQG	Homo sapiens psoas muscle tissue female adult (61 years)
ENCSR775KMA	ENCFF089LSF	ENCFF938UXR	Homo sapiens activated T-cell male adult (38 years) treated with 50 U/mL Interleukin-2 for 4 hours, anti-CD3 and anti-CD28 coated beads for 4 hours
ENCSR775SYU	ENCFF824VXG	ENCFF281ROQ	Homo sapiens uterus tissue female adult (59 years)
ENCSR808HWS	ENCFF837LBW	ENCFF918VRX	Homo sapiens natural killer cell female adult (41 years) treated with 100 ng/mL Interleukin-18 for 72 hours, 100 ng/mL Interleukin-12 subunit beta for 72 hours, 100 ng/mL Interleukin-15 for 72 hours, 100 ng/mL Interleukin-12 subunit alpha for 72 hours
ENCSR808ZMK	ENCFF480ITE	ENCFF512NCO	Homo sapiens pancreas tissue female adult (41 years)
ENCSR812ZKP	ENCFF594FVI	ENCFF657SKW	Homo sapiens from a donor with amyotrophic lateral sclerosis; motor neuron
ENCSR821JHD	ENCFF724WEK	ENCFF095RCU	Homo sapiens HG02623
ENCSR821QHC	ENCFF731ZCZ	ENCFF624OOL	Homo sapiens HG02642
ENCSR824DUE	ENCFF781JGR	ENCFF171LKM	Homo sapiens HG03378
ENCSR830ALP	ENCFF350JTS	ENCFF061KDF	Homo sapiens activated T-cell male adult (43 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 50 U/mL Interleukin-2 for 72 hours
ENCSR833ACP	ENCFF304LHI	ENCFF986NOL	Homo sapiens HG03103
ENCSR835WBW	ENCFF557QED	ENCFF245DIM	Homo sapiens HG03565
ENCSR836FIL	ENCFF854ULK	ENCFF241ZLC	Homo sapiens right lobe of liver tissue male adult (40 years)
ENCSR839IAD	ENCFF259FJX	ENCFF169PJA	Homo sapiens GM19397
ENCSR839UOB	ENCFF831FGS	ENCFF275WVZ	Homo sapiens HG03432
ENCSR841LHT	ENCFF246KRE	ENCFF681VRR	Homo sapiens CD4-positive, alpha-beta T cell male adult (20 years)
ENCSR846VLJ	ENCFF452WBJ	ENCFF784HME	Homo sapiens sigmoid colon tissue female adult (53 years)
ENCSR846VPV	ENCFF085ASE	ENCFF840TYL	Homo sapiens heart left ventricle tissue female adult (66 years)
ENCSR848TMJ	ENCFF067XXJ	ENCFF117WEV	Homo sapiens heart left ventricle tissue male adult (69 years)
ENCSR854TTM	ENCFF986KHO	ENCFF971FBW	Homo sapiens natural killer cell male adult (47 years) treated with 100 ng/mL Interleukin-12 subunit alpha for 72 hours, 100 ng/mL Interleukin-15 for 72 hours, 100 ng/mL Interleukin-12 subunit beta for 72 hours, 100 ng/mL Interleukin-18 for 72 hours
ENCSR855BMI	ENCFF119EAP	ENCFF684ZDU	Homo sapiens Right ventricle myocardium inferior tissue male adult (60 years)
ENCSR858GTE	ENCFF474JMH	ENCFF556WEK	Homo sapiens HG03442
ENCSR859USB	ENCFF055NNT	ENCFF920FUW	Homo sapiens K562
ENCSR863TVR	ENCFF754SOL	ENCFF964ISD	Homo sapiens stimulated activated naive CD8-positive, alpha-beta T cell male adult (33 years) treated with anti-CD3 and anti-CD28 coated beads for 72 hours, 100 ng/mL Interleukin-15 for 72 hours
ENCSR864ADD	ENCFF590JRI	ENCFF854MVA	Homo sapiens adrenal gland tissue female adult (41 years)
ENCSR868FGK	ENCFF333TAT	ENCFF102ARJ	Homo sapiens K562
ENCSR872WGW	ENCFF296ZZB	ENCFF259PSA	Homo sapiens HCT116
ENCSR886VCC	ENCFF834CDO	ENCFF542SXR	Homo sapiens psoas muscle tissue female adult (47 years)
